dataset,model,mode,canonical_run,previous_mapping_status,evidence_source,raw_prediction_status,target_status,aggregate_status,ecg_id_metadata_status,mapping_result,unique_test_ecg_ids,aggregation_reconstruction,target_consistency,saved_aggregate_match,blocker_category,notes
ptbxl_all,HuBERT-ECG,Linear,PTBXL_ALL_HUBERT_ECG_LINEAR_FORMAL_RUN_012,DEFERRED,execution_control/PTBXL_FINAL_CLOSURE/ECG_052_451_STRICT_MAPPING_VERIFICATION.json; read-only hash-verified 451 carrier,RECOVERED_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA_HASH_VERIFIED,PASS,2198,PASS,PASS,PASS,,Strict PASS from 451 carrier; historical source=052; windows_per_ecg=2; max_abs_diff=0.
ptbxl_all,ECG-CPC,Finetuning,PTBXL_ALL_ECG_CPC_FINETUNING_FORMAL,PASS,tables/PTBXL_ALL_MAPPING_RECOVERY_ADDENDUM.json; audits/ecg_id_mapping_recovery/mapping_recovery_verification.json; preserved mapping CSV,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Existing PASS read only; not recomputed in this closure pass.
ptbxl_all,ECG-CPC,Frozen,PTBXL_ALL_ECG_CPC_FROZEN_FORMAL_RUN_013,DEFERRED,execution_control/PTBXL_FINAL_CLOSURE/ECG_052_451_STRICT_MAPPING_VERIFICATION.json; read-only hash-verified 451 carrier,RECOVERED_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA_HASH_VERIFIED,PASS,2198,PASS,PASS,PASS,,Strict PASS from 451 carrier; historical source=052; windows_per_ecg=4; max_abs_diff=0.
ptbxl_all,ECG-CPC,Linear,PTBXL_ALL_ECG_CPC_LINEAR_FORMAL_RUN_014,DEFERRED,execution_control/PTBXL_FINAL_CLOSURE/ECG_052_451_STRICT_MAPPING_VERIFICATION.json; read-only hash-verified 451 carrier,RECOVERED_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA_HASH_VERIFIED,PASS,2198,PASS,PASS,PASS,,Strict PASS from 451 carrier; historical source=052; windows_per_ecg=4; max_abs_diff=0.
ptbxl_all,ECG-FM,Finetuning,PTBXL_ALL_ECG_FM_FINETUNING_FORMAL,PASS,tables/PTBXL_ALL_MAPPING_RECOVERY_ADDENDUM.json; audits/ecg_id_mapping_recovery/mapping_recovery_verification.json; preserved mapping CSV,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Existing PASS read only; not recomputed in this closure pass.
ptbxl_all,ECG-FM,Frozen,PTBXL_ALL_ECG_FM_FROZEN_FORMAL_RUN_015,DEFERRED,execution_control/PTBXL_FINAL_CLOSURE/RUN015_TARGETED_RECOVERY_AND_RELEASE_GATE.json,RECOVERED_RETRY01_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_RETRY01_HASH_VERIFIED,CANONICAL_FOLD10_MAPPING_VERIFIED,PASS,2198,PASS,PASS,PASS,,Original Run015 attempt preserved as provenance; successful formal Retry01 completion_validation=PASS is canonical evidence source; exact two-window mean reconstruction; max_abs_diff=0.
ptbxl_all,ECG-FM,Linear,PTBXL_ALL_ECG_FM_LINEAR_FORMAL_RUN_016,DEFERRED,execution_control/PTBXL_FINAL_CLOSURE/ECG_052_451_STRICT_MAPPING_VERIFICATION.json; read-only hash-verified 451 carrier,RECOVERED_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA_HASH_VERIFIED,PASS,2198,PASS,PASS,PASS,,Strict PASS from 451 carrier; historical source=052; windows_per_ecg=2; max_abs_diff=0.
ptbxl_all,S4,Finetuning,PTBXL_ALL_S4_FINETUNING_FORMAL,PASS,tables/PTBXL_ALL_MAPPING_RECOVERY_ADDENDUM.json; audits/ecg_id_mapping_recovery/mapping_recovery_verification.json; preserved mapping CSV,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Existing PASS read only; not recomputed in this closure pass.
ptbxl_all,Net1D,Finetuning,PTBXL_ALL_NET1D_FINETUNING_FORMAL,PASS,tables/PTBXL_ALL_MAPPING_RECOVERY_ADDENDUM.json; audits/ecg_id_mapping_recovery/mapping_recovery_verification.json; preserved mapping CSV,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Existing PASS read only; not recomputed in this closure pass.
ptbxl_sub,ECGFounder,Finetuning,PTBXL_SUB_01_ECGFOUNDER_FINETUNING_FORMAL,MISSING_EVIDENCE,execution_control/PTBXL_FINAL_CLOSURE/COMMON_780_775_STRICT_MAPPING_VERIFICATION.json,RECOVERED_HASH_VERIFIED,EMBEDDED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA,PASS,2198,PASS,PASS,PASS,,Strict PASS from current read-only common-source acquisition; ECG-JEPA identity aggregation accepted where windows=1.
ptbxl_sub,ECGFounder,Frozen,PTBXL_SUB_02_ECGFOUNDER_FROZEN_FORMAL,MISSING_EVIDENCE,execution_control/PTBXL_FINAL_CLOSURE/COMMON_780_775_STRICT_MAPPING_VERIFICATION.json,RECOVERED_HASH_VERIFIED,EMBEDDED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA,PASS,2198,PASS,PASS,PASS,,Strict PASS from current read-only common-source acquisition; ECG-JEPA identity aggregation accepted where windows=1.
ptbxl_sub,ECGFounder,Linear,PTBXL_SUB_03_ECGFOUNDER_LINEAR_FORMAL,MISSING_EVIDENCE,execution_control/PTBXL_FINAL_CLOSURE/COMMON_780_775_STRICT_MAPPING_VERIFICATION.json,RECOVERED_HASH_VERIFIED,EMBEDDED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA,PASS,2198,PASS,PASS,PASS,,Strict PASS from current read-only common-source acquisition; ECG-JEPA identity aggregation accepted where windows=1.
ptbxl_sub,ECG-JEPA,Finetuning,PTBXL_SUB_04_ECG_JEPA_FINETUNING_FORMAL,MISSING_EVIDENCE,execution_control/PTBXL_FINAL_CLOSURE/COMMON_780_775_STRICT_MAPPING_VERIFICATION.json,RECOVERED_HASH_VERIFIED,EMBEDDED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA,PASS,2198,PASS,PASS,PASS,,Strict PASS from current read-only common-source acquisition; ECG-JEPA identity aggregation accepted where windows=1.
ptbxl_sub,ECG-JEPA,Frozen,PTBXL_SUB_05_ECG_JEPA_FROZEN_FORMAL,MISSING_EVIDENCE,execution_control/PTBXL_FINAL_CLOSURE/COMMON_780_775_STRICT_MAPPING_VERIFICATION.json,RECOVERED_HASH_VERIFIED,EMBEDDED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA,PASS,2198,PASS,PASS,PASS,,Strict PASS from current read-only common-source acquisition; ECG-JEPA identity aggregation accepted where windows=1.
ptbxl_sub,ECG-JEPA,Linear,PTBXL_SUB_06_ECG_JEPA_LINEAR_FORMAL,MISSING_EVIDENCE,execution_control/PTBXL_FINAL_CLOSURE/COMMON_780_775_STRICT_MAPPING_VERIFICATION.json,RECOVERED_HASH_VERIFIED,EMBEDDED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA,PASS,2198,PASS,PASS,PASS,,Strict PASS from current read-only common-source acquisition; ECG-JEPA identity aggregation accepted where windows=1.
ptbxl_sub,ST-MEM,Finetuning,PTBXL_SUB_07_ST_MEM_FINETUNING_FORMAL_RETRY_03,MISSING_EVIDENCE,execution_control/PTBXL_FINAL_CLOSURE/STMEM_780_775_STRICT_MAPPING_VERIFICATION.json; recovered hash-verified minimal bundle from instance 780,RECOVERED_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,RECOVERED_FOLD10_METADATA_PROJECTION_HASH_RECORDED,PASS,2198,PASS,PASS,PASS,,"Strict PASS: canonical ECG-ID order, 4-window mean reconstruction, target grouping, and aggregate match all exact; verification=execution_control/PTBXL_FINAL_CLOSURE/STMEM_780_775_STRICT_MAPPING_VERIFICATION.json."
ptbxl_sub,ST-MEM,Frozen,PTBXL_SUB_08_ST_MEM_FROZEN_FORMAL,MISSING_EVIDENCE,execution_control/PTBXL_FINAL_CLOSURE/STMEM_780_775_STRICT_MAPPING_VERIFICATION.json; recovered hash-verified minimal bundle from instance 780,RECOVERED_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,RECOVERED_FOLD10_METADATA_PROJECTION_HASH_RECORDED,PASS,2198,PASS,PASS,PASS,,"Strict PASS: canonical ECG-ID order, 4-window mean reconstruction, target grouping, and aggregate match all exact; verification=execution_control/PTBXL_FINAL_CLOSURE/STMEM_780_775_STRICT_MAPPING_VERIFICATION.json."
ptbxl_sub,ST-MEM,Linear,PTBXL_SUB_09_ST_MEM_LINEAR_FORMAL,MISSING_EVIDENCE,execution_control/PTBXL_FINAL_CLOSURE/STMEM_780_775_STRICT_MAPPING_VERIFICATION.json; recovered hash-verified minimal bundle from instance 780,RECOVERED_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,RECOVERED_FOLD10_METADATA_PROJECTION_HASH_RECORDED,PASS,2198,PASS,PASS,PASS,,"Strict PASS: canonical ECG-ID order, 4-window mean reconstruction, target grouping, and aggregate match all exact; verification=execution_control/PTBXL_FINAL_CLOSURE/STMEM_780_775_STRICT_MAPPING_VERIFICATION.json."
ptbxl_sub,MERL,Finetuning,PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1,MISSING_EVIDENCE,EMERGENCY_WORKERS; instance_id=438; worker_group=SUB1; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1; PARALLEL_WORKER_EVIDENCE_RECOVERY.csv; PARALLEL_WORKER_HASH_CLOSURE.csv; PARALLEL_WORKER_STRICT_MAPPING_FINAL.csv,RECOVERED_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Worker branch materialized: source instance 438; remote/local SHA256=88/88 PASS across branch; strict mapping PASS; remote_path=/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1; local_path=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_10_MERL_FINETUNING_FORMAL_SUB1.
ptbxl_sub,MERL,Frozen,PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1,MISSING_EVIDENCE,EMERGENCY_WORKERS; instance_id=438; worker_group=SUB1; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1; PARALLEL_WORKER_EVIDENCE_RECOVERY.csv; PARALLEL_WORKER_HASH_CLOSURE.csv; PARALLEL_WORKER_STRICT_MAPPING_FINAL.csv,RECOVERED_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Worker branch materialized: source instance 438; remote/local SHA256=88/88 PASS across branch; strict mapping PASS; remote_path=/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1; local_path=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_11_MERL_FROZEN_FORMAL_SUB1.
ptbxl_sub,MERL,Linear,PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1,MISSING_EVIDENCE,EMERGENCY_WORKERS; instance_id=438; worker_group=SUB1; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1; PARALLEL_WORKER_EVIDENCE_RECOVERY.csv; PARALLEL_WORKER_HASH_CLOSURE.csv; PARALLEL_WORKER_STRICT_MAPPING_FINAL.csv,RECOVERED_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Worker branch materialized: source instance 438; remote/local SHA256=88/88 PASS across branch; strict mapping PASS; remote_path=/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1; local_path=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_12_MERL_LINEAR_FORMAL_SUB1.
ptbxl_sub,ECGFM-KED,Finetuning,PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2,MISSING_EVIDENCE,EMERGENCY_WORKERS; instance_id=087; worker_group=SUB2; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2; PARALLEL_WORKER_EVIDENCE_RECOVERY.csv; PARALLEL_WORKER_HASH_CLOSURE.csv; PARALLEL_WORKER_STRICT_MAPPING_FINAL.csv,RECOVERED_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Worker branch materialized: source instance 087; remote/local SHA256=88/88 PASS across branch; strict mapping PASS; remote_path=/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2; local_path=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_13_ECGFM_KED_FINETUNING_FORMAL_SUB2.
ptbxl_sub,ECGFM-KED,Frozen,PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2,MISSING_EVIDENCE,EMERGENCY_WORKERS; instance_id=087; worker_group=SUB2; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2; PARALLEL_WORKER_EVIDENCE_RECOVERY.csv; PARALLEL_WORKER_HASH_CLOSURE.csv; PARALLEL_WORKER_STRICT_MAPPING_FINAL.csv,RECOVERED_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Worker branch materialized: source instance 087; remote/local SHA256=88/88 PASS across branch; strict mapping PASS; remote_path=/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2; local_path=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_14_ECGFM_KED_FROZEN_FORMAL_SUB2.
ptbxl_sub,ECGFM-KED,Linear,PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2,MISSING_EVIDENCE,EMERGENCY_WORKERS; instance_id=087; worker_group=SUB2; local_bundle=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2; PARALLEL_WORKER_EVIDENCE_RECOVERY.csv; PARALLEL_WORKER_HASH_CLOSURE.csv; PARALLEL_WORKER_STRICT_MAPPING_FINAL.csv,RECOVERED_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Worker branch materialized: source instance 087; remote/local SHA256=88/88 PASS across branch; strict mapping PASS; remote_path=/root/autodl-tmp/ECG/formal_runs/PTBXL_SUB/PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2; local_path=execution_control/PTBXL_FINAL_CLOSURE/PARALLEL_WORKER_EVIDENCE_BUNDLE/PTBXL_SUB_15_ECGFM_KED_LINEAR_FORMAL_SUB2.
